Title,Action,Preference
"AI Breakthrough in Predicting Protein Structures",viewed,NA
"WHO Declares Malaria-Free Status for Several African Nations",viewed,like
"Soccer Legend Announces Retirement After 20-Year Career",viewed,dislike
"Rising Antibiotic Resistance Threatens Global Health",viewed,like
"Blockchain Technology Expands Beyond Cryptocurrency: Real-World Applications Grow",viewed,NA
"The Future of Wearable Tech: Smart Clothing and Health Monitoring",viewed,NA
"AI-Driven Personal Assistants Become Indispensable for Busy Professionals",viewed,like
"The Emergence of Smart Cities: How IoT is Shaping Urban Living",viewed,dislike
"Apple and Google Join Forces for Cross-Platform Tracking Prevention",viewed,like
"The Rise of Biometric Authentication: Beyond Passwords",viewed,NA
"Virtual Reality Therapy Shows Potential for Pain Management",viewed,like
