Title,Action,Preference
"Facebook Implements Stronger Data Privacy Controls Amid User Backlash",viewed,NA
"5G Expands into Rural Communities, Enhancing Internet Connectivity",viewed,NA
"AI Chatbots Transform Customer Service Industry",viewed,like
"Self-Learning AI: The Future of Machine Learning?",viewed,like
"Self-Learning AI: The Future of Machine Learning?",viewed,like
"The Esports world championship is coming soon",viewed,like
"Olympics 2024: Preparations Underway in Paris",viewed,NA
"Soccer Legend Announces Retirement After 20-Year Career",viewed,dislike
"AI Breakthrough in Predicting Protein Structures",viewed,NA
"AI in Education: Personalized Learning for Students",viewed,NA
"Breakthrough in Alzheimer's Research: New Drug Shows Promise in Clinical Trials",viewed,NA
"AI Breakthrough in Predicting Protein Structures",viewed,NA
"AI in Education: Personalized Learning for Students",viewed,NA
"AI in Manufacturing: Boosting Efficiency with Automation",viewed,NA
